lineage	S1_mutations
AY.46.6	7.
AY.4.7	8.
AY.47	9.
AY.4.8	8.
AY.48	8.
AY.4.9	8.
AY.49	8.
AY.5	7.
AY.50	8.
AY.5.1	7.
AY.51	7.
AY.5.2	7.
AY.52	7.
AY.5.3	7.
AY.53	8.
AY.5.4	7.
AY.54	7.
AY.5.5	7.
AY.55	8.
AY.56	8.
AY.57	8.
AY.58	8.
AY.59	8.
AY.6	7.
AY.60	8.
AY.61	8.
AY.62	8.
AY.63	8.
AY.64	8.
AY.65	8.
AY.66	8.
AY.67	8.
AY.68	9.
AY.69	8.
AY.7	7.
AY.70	9.
AY.7.1	7.
AY.71	8.
AY.7.2	7.
AY.72	8.
AY.73	8.
AY.74	8.
AY.75	8.
AY.75.2	9.
AY.75.3	9.
AY.76	7.
AY.77	7.
AY.78	8.
AY.79	7.
AY.8	7.
AY.80	7.
AY.81	7.
AY.82	7.
AY.83	7.
AY.84	7.
AY.85	8.
AY.86	7.
AY.87	7.
AY.88	7.
AY.9	8.
AY.90	7.
AY.91	7.
AY.91.1	7.
AY.9.2	8.
AY.92	8.
AY.9.2.2	9.
AY.93	7.
AY.94	7.
AY.95	9.
AY.98	7.
AY.98.1	8.
AY.99	7.
AY.99.1	8.
AY.99.2	8.
AZ.1	4.
AZ.2	4.
AZ.3	4.
AZ.4	4.
AZ.5	4.
B	0.5
B.1	2.
B.1.1	1.
B.1.1.1	1.
B.1.1.10	1.
B.1.110	1.
B.1.1.101	1.
B.1.110.3	1.
B.1.111	1.
B.1.1.111	1.
B.1.1.115	1.
B.1.1.117	1.
B.1.1.121	1.
B.1.1.133	1.
B.1.1.135	1.
B.1.1.141	2.
B.1.1.153	1.
B.1.1.157	1.
B.1.1.159	1.
B.1.1.161	2.
B.1.1.163	1.
B.1.1.170	1.
B.1.1.171	1.
B.1.1.174	1.
B.1.1.176	1.
B.1.1.181	1.
B.1.1.186	2.
B.1.1.189	1.
B.1.1.192	1.
B.1.1.198	1.
B.1.1.203	1.
B.1.1.205	1.
B.1.1.207	2.
B.1.1.214	1.
B.1.1.216	1.
B.1.1.220	1.
B.1.1.221	1.
B.1.1.222	1.
B.1.1.228	1.
B.1.1.231	1.
B.1.1.232	1.
B.1.1.241	1.
B.1.1.243	1.
B.1.1.25	1.
B.1.1.253	1.
B.1.1.254	1.
B.1.126	2.
B.1.1.263	1.
B.1.1.265	1.
B.1.1.269	1.
B.1.1.27	1.
B.1.1.273	1.
B.1.1.274	1.
B.1.1.277	1.
B.1.1.279	2.
B.1.1.28	1.
B.1.128	1.
B.1.1.284	1.
B.1.1.291	1.
B.1.1.294	1.
B.1.1.297	1.
B.1.1.298	2.
B.1.1.301	1.
B.1.1.302	1.
B.1.1.304	1.
B.1.1.305	1.
B.1.1.306	1.
B.1.1.307	1.
B.1.1.311	1.
B.1.1.312	1.
B.1.1.315	1.
B.1.1.316	2.
B.1.1.317	1.
B.1.1.318	4.
B.1.1.326	1.
B.1.1.329	1.
B.1.1.33	1.
B.1.1.332	1.
B.1.1.34	1.
B.1.1.348	1.
B.1.1.351	3.
B.1.1.354	1.
B.1.1.359	1.
B.1.1.360	2.
B.1.1.368	1.
B.1.1.369	1.
B.1.1.37	1.
B.1.1.370	1.
B.1.1.371	1.
B.1.1.372	1.
B.1.1.374	2.
B.1.1.375	2.
B.1.1.376	1.
B.1.1.378	1.
B.1.1.382	1.
B.1.1.39	1.
B.1.139	1.
B.1.1.391	1.
B.1.1.397	3.
B.1.1.398	1.
B.1.1.404	1.
B.1.1.406	1.
B.1.1.409	1.
B.1.1.411	1.
B.1.1.412	1.
B.1.1.413	3.
B.1.1.416	1.
B.1.1.417	2.
B.1.1.418	1.
B.1.1.419	1.
B.1.1.420	3.
B.1.143	1.
B.1.1.432	1.
B.1.1.433	4.
B.1.1.434	1.
B.1.1.44	1.
B.1.1.442	1.
B.1.1.448	1.
B.1.1.459	1.
B.1.1.46	1.
B.1.146	1.
B.1.1.462	2.
B.1.1.464	1.
B.1.1.47	1.
B.1.147	1.
B.1.1.485	1.
B.1.1.486	4.
B.1.1.487	1.
B.1.149	1.
B.1.1.50	1.
B.1.1.500	1.
B.1.1.507	1.
B.1.1.51	1.
B.1.1.519	3.
B.1.1.52	1.
B.1.1.521	1.
B.1.1.523	4.
B.1.1.525	3.
B.1.1.526	2.
B.1.1.528	4.
B.1.1.529	23.
B.1.1.53	1.
B.1.1.54	1.
B.1.1.56	1.
B.1.1.57	1.
B.1.160	2.
B.1.160.16	2.
B.1.1.61	1.
B.1.1.63	1.
B.1.1.67	2.
B.1.1.7	4.
B.1.1.70	1.
B.1.170	1.
B.1.177	2.
B.1.177.10	3.
B.1.177.12	2.
B.1.177.15	2.
B.1.177.16	2.
B.1.177.18	3.
B.1.177.21	2.
B.1.177.32	2.
B.1.177.35	2.
B.1.177.4	2.
B.1.177.44	2.
B.1.177.46	3.
B.1.177.5	3.
B.1.177.52	2.
B.1.177.53	2.
B.1.177.54	2.
B.1.177.56	2.
B.1.177.57	2.
B.1.177.60	3.
B.1.177.62	4.
B.1.177.7	3.
B.1.177.73	2.
B.1.177.75	2.
B.1.177.77	2.
B.1.177.8	3.
B.1.177.81	2.
B.1.177.82	4.
B.1.177.83	4.
B.1.177.86	3.
B.1.177.87	4.
B.1.179	1.
B.1.1.8	1.
B.1.1.83	1.
B.1.189	1.
B.1.192	1.
B.1.195	1.
B.1.1.99	1.
B.1.2	1.
B.1.206	1.
B.1.210	1.
B.1.212	1.
B.1.214	1.
B.1.214.1	1.
B.1.214.2	3.
B.1.214.3	2.
B.1.219	2.
B.1.22	1.
B.1.221	2.
B.1.222	2.
B.1.232	1.
B.1.234	1.
B.1.236	1.
B.1.237	1.
B.1.239	1.
B.1.240	1.
B.1.240.1	1.
B.1.241	1.
B.1.243	1.
B.1.247	1.
B.1.258	2.
B.1.258.11	2.
B.1.258.14	2.
B.1.258.17	3.
B.1.258.3	2.
B.1.260	1.
B.1.265	1.
B.1.279	1.
B.1.298	1.
B.1.3	2.
B.1.311	1.
B.1.319	1.
B.1.320	1.
B.1.324	1.
B.1.336	1.
B.1.340	1.
B.1.346	1.
B.1.349	1.
B.1.350	1.
B.1.351	6.
B.1.351.1	7.
B.1.351.2	7.
B.1.351.3	7.
B.1.351.5	7.
B.1.356	1.
B.1.36	1.
B.1.36.1	1.
B.1.361	1.
B.1.36.10	1.
B.1.36.16	1.
B.1.36.17	1.
B.1.36.18	2.
B.1.36.19	1.
B.1.362	1.
B.1.36.22	1.
B.1.36.24	1.
B.1.36.29	1.
B.1.36.31	3.
B.1.36.35	1.
B.1.36.36	1.
B.1.36.38	1.
B.1.36.39	1.
B.1.36.7	1.
B.1.367	2.
B.1.36.8	1.
B.1.36.9	1.
B.1.369	1.
B.1.371	1.
B.1.375	1.
B.1.377	1.
B.1.378	1.
B.1.379	1.
B.1.380	1.
B.1.381	1.
B.1.389	1.
B.1.391	1.
B.1.393	1.
B.1.395	1.
B.1.396	1.
B.1.397	1.
B.1.398	2.
B.1.399	1.
B.1.400	1.
B.1.402	2.
B.1.404	2.
B.1.409	1.
B.1.411	1.
B.1.415.1	6.
B.1.416	1.
B.1.416.1	1.
B.1.417	1.
B.1.420	1.
B.1.426	2.
B.1.427	3.
B.1.428	1.
B.1.429	3.
B.1.433	1.
B.1.436	1.
B.1.438	1.
B.1.438.1	2.
B.1.441	1.
B.1.453	1.
B.1.456	1.
B.1.459	1.
B.1.462	1.
B.1.465	1.
B.1.466	1.
B.1.466.1	2.
B.1.466.2	2.
B.1.468	1.
B.1.469	1.
B.1.470	1.
B.1.471	1.
B.1.474	2.
B.1.480	1.
B.1.497	1.
B.1.499	1.
B.1.503	1.
B.1.505	1.
B.1.509	1.
B.1.517	2.
B.1.523	1.
B.1.524	1.
B.1.525	5.
B.1.526	3.
B.1.527	1.
B.1.530	2.
B.1.533	1.
B.1.537	1.
B.1.538	1.
B.1.540	1.
B.1.544	1.
B.1.549	1.
B.1.551	2.
B.1.558	1.
B.1.560	1.
B.1.561	2.
B.1.564	1.
B.1.565	1.
B.1.566	1.
B.1.567	1.
B.1.568	1.
B.1.570	2.
B.1.575	3.
B.1.575.1	3.
B.1.576	1.
B.1.577	1.
B.1.580	1.
B.1.582	1.
B.1.587	2.
B.1.588	2.
B.1.595	1.
B.1.596	1.
B.1.596.1	2.
B.1.597	1.
B.1.600	1.
B.1.605	1.
B.1.606	1.
B.1.609	1.
B.1.612	1.
B.1.617	5.
B.1.617.1	8.
B.1.617.2	7.
B.1.617.3	5.
B.1.618	2.
B.1.619	4.
B.1.619.1	4.
B.1.620	7.
B.1.621	7.
B.1.621.1	7.
B.1.621.2	9.
B.1.623	4.
B.1.625	5.
B.1.626	6.
B.1.627	4.
B.1.629	6.
B.1.630	7.
B.1.631	6.
B.1.634	5.
B.1.636	3.
B.1.637	4.
B.1.639	4.
B.1.640.1	10.
B.1.78	1.
B.1.8	1.
B.1.9	1.
B.1.91	1.
B.1.9.5	1.
B.23	0.
B.3	0.
B.39	0.
B.4	0.
B.40	0.
B.55	0.
B.6	0.
B.6.6	0.
BA.1	25.
BA.1.1	26.
BA.1.10	25.
BA.1.1.1	26.
BA.1.1.10	26.
BA.1.1.11	26.
BA.1.1.12	26.
BA.1.1.13	26.
BA.1.1.14	26.
BA.1.1.15	26.
BA.1.1.16	26.
BA.1.1.17	26.
BA.1.1.18	26.
BA.1.1.2	26.
BA.1.12	26.
BA.1.1.3	26.
BA.1.13	25.
BA.1.13.1	25.
BA.1.1.4	26.
BA.1.14	25.
BA.1.14.1	25.
BA.1.14.2	25.
BA.1.1.5	26.
BA.1.15	25.
BA.1.15.1	25.
BA.1.15.2	27.
BA.1.15.3	25.
BA.1.1.6	26.
BA.1.16	25.
BA.1.16.1	25.
BA.1.16.2	25.
BA.1.1.7	26.
BA.1.17	25.
BA.1.17.1	25.
BA.1.17.2	25.
BA.1.1.8	26.
BA.1.18	25.
BA.1.1.9	26.
BA.1.19	25.
BA.1.2	25.
BA.1.20	25.
BA.1.21	25.
BA.1.21.1	25.
BA.1.22	25.
BA.1.23	29.
BA.1.24	26.
BA.1.3	25.
BA.1.4	26.
BA.1.5	25.
BA.1.6	25.
BA.1.7	25.
BA.1.8	25.
BA.1.9	25.
BA.2	33.
BA.2.1	33.
BA.2.10	33.
BA.2.10.1	33.
BA.2.10.2	33.
BA.2.10.3	34.
BA.2.10.4	39.
BA.2.11	34.
BA.2.12	33.
BA.2.12.1	34.
BA.2.12.2	34.
BA.2.13	34.
BA.2.13.1	34.
BA.2.14	34.
BA.2.15	34.
BA.2.16	33.
BA.2.17	33.
BA.2.18	34.
BA.2.19	33.
BA.2.2	33.
BA.2.20	34.
BA.2.2.1	33.
BA.2.21	33.
BA.2.22	34.
BA.2.23	33.
BA.2.23.1	33.
BA.2.24	34.
BA.2.25	33.
BA.2.25.1	33.
BA.2.26	33.
BA.2.27	33.
BA.2.28	33.
BA.2.29	33.
BA.2.3	33.
BA.2.30	33.
BA.2.3.1	34.
BA.2.31	33.
BA.2.3.10	33.
BA.2.3.11	33.
BA.2.31.1	34.
BA.2.3.12	33.
BA.2.3.13	33.
BA.2.3.14	33.
BA.2.3.15	34.
BA.2.3.16	33.
BA.2.3.17	33.
BA.2.3.18	33.
BA.2.3.19	34.
BA.2.3.2	33.
BA.2.32	33.
BA.2.3.20	43.
BA.2.3.21	33.5
BA.2.3.22	39.
BA.2.33	33.
BA.2.3.4	34.
BA.2.34	33.
BA.2.3.5	33.
BA.2.35	34.
BA.2.3.6	34.
BA.2.36	34.
BA.2.3.7	34.
BA.2.37	33.
BA.2.3.8	33.
BA.2.38	34.
BA.2.38.1	37.
BA.2.38.2	36.
BA.2.38.3	36.
BA.2.38.4	36.
BA.2.3.9	33.
BA.2.39	33.
BA.2.4	33.
BA.2.40	33.
BA.2.40.1	34.
BA.2.41	33.
BA.2.42	34.
BA.2.43	34.
BA.2.44	34.
BA.2.45	34.
BA.2.46	33.
BA.2.47	34.
BA.2.48	34.
BA.2.49	33.
BA.2.5	33.
BA.2.50	34.
BA.2.51	33.
BA.2.52	33.
BA.2.53	34.
BA.2.54	34.
BA.2.55	34.
BA.2.56	34.
BA.2.56.1	35.
BA.2.57	33.
BA.2.58	33.
BA.2.59	33.
BA.2.6	33.
BA.2.60	33.
BA.2.61	34.
BA.2.62	33.
BA.2.63	33.
BA.2.64	33.
BA.2.65	33.
BA.2.66	33.
BA.2.67	33.
BA.2.68	33.
BA.2.69	33.
BA.2.7	33.
BA.2.70	33.
BA.2.71	34.
BA.2.72	34.
BA.2.73	34.
BA.2.74	35.
BA.2.75	42.
BA.2.75.1	43.
BA.2.75.10	42.
BA.2.75.2	44.
BA.2.75.3	42.
BA.2.75.4	43.
BA.2.75.5	43.
BA.2.75.6	43.
BA.2.75.7	43.
BA.2.75.8	43.
BA.2.75.9	43.
BA.2.76	35.
BA.2.76.1	36.
BA.2.76.2	36.
BA.2.77	37.
BA.2.78	34.
BA.2.79	35.
BA.2.79.1	35.
BA.2.8	33.
BA.2.80	35.
BA.2.81	34.
BA.2.82	35.
BA.2.83	40.
BA.2.85	34.
BA.2.86	59.
BA.2.86.1	59.
BA.2.86.2	59.
BA.2.86.3	59.
BA.2.86.4	60.
BA.2.86.5	60.
BA.2.86.6	59.
BA.2.86.7	59.
BA.2.87	33.
BA.2.87.1	50.
BA.2.9	33.
BA.2.9.1	34.
BA.2.9.2	33.
BA.2.9.3	34.
BA.2.9.4	34.
BA.2.9.5	33.
BA.2.9.6	34.
BA.2.9.7	33.
BA.3	23.
BA.3.1	24.
BA.4	36.
BA.4.1	36.
BA.4.1.1	37.
BA.4.1.10	38.
BA.4.1.11	39.
BA.4.1.2	36.
BA.4.1.3	36.
BA.4.1.4	36.
BA.4.1.5	36.
BA.4.1.6	36.
BA.4.1.7	37.
BA.4.1.8	37.
BA.4.1.9	37.
BA.4.2	36.
BA.4.3	37.
BA.4.4	37.
BA.4.5	38.
BA.4.6	38.
BA.4.6.1	39.
BA.4.6.2	39.
BA.4.6.3	40.
BA.4.6.4	38.
BA.4.6.5	38.
BA.4.7	38.
BA.4.8	36.
BA.5	36.
BA.5.1	36.
BA.5.10	37.
BA.5.10.1	38.
BA.5.1.1	36.
BA.5.11	37.
BA.5.1.10	36.
BA.5.1.11	36.
BA.5.1.12	37.
BA.5.1.14	36.
BA.5.1.15	36.
BA.5.1.16	36.
BA.5.1.17	36.
BA.5.1.18	37.
BA.5.1.19	36.
BA.5.1.2	36.
BA.5.1.20	37.
BA.5.1.21	36.
BA.5.1.22	36.
BA.5.1.23	36.
BA.5.1.24	36.
BA.5.1.25	36.
BA.5.1.26	37.
BA.5.1.27	37.
BA.5.1.28	37.
BA.5.1.29	37.
BA.5.1.3	37.
BA.5.1.30	36.
BA.5.1.31	36.
BA.5.1.32	36.
BA.5.1.33	36.
BA.5.1.34	36.
BA.5.1.35	36.
BA.5.1.36	38.
BA.5.1.37	38.
BA.5.1.38	37.
BA.5.1.4	36.
BA.5.1.5	36.
BA.5.1.6	36.
BA.5.1.7	36.
BA.5.1.8	36.
BA.5.1.9	36.
BA.5.2	36.
BA.5.2.1	36.
BA.5.2.10	36.
BA.5.2.11	36.
BA.5.2.12	36.
BA.5.2.13	37.
BA.5.2.14	38.
BA.5.2.16	36.
BA.5.2.18	37.
BA.5.2.19	36.
BA.5.2.2	36.
BA.5.2.20	36.
BA.5.2.21	36.
BA.5.2.22	36.
BA.5.2.23	38.
BA.5.2.24	37.
BA.5.2.25	37.
BA.5.2.26	36.
BA.5.2.27	36.
BA.5.2.28	36.
BA.5.2.29	36.
BA.5.2.3	36.
BA.5.2.30	37.
BA.5.2.31	37.
BA.5.2.32	37.
BA.5.2.33	36.
BA.5.2.34	37.
BA.5.2.35	37.
BA.5.2.36	37.
BA.5.2.37	37.
BA.5.2.38	37.
BA.5.2.39	37.
BA.5.2.4	37.
BA.5.2.40	37.
BA.5.2.41	37.
BA.5.2.42	37.
BA.5.2.43	38.
BA.5.2.44	36.
BA.5.2.45	37.
BA.5.2.46	38.
BA.5.2.47	37.
BA.5.2.48	36.
BA.5.2.49	36.
BA.5.2.5	36.
BA.5.2.50	36.
BA.5.2.51	37.
BA.5.2.52	37.
BA.5.2.53	37.
BA.5.2.54	37.
BA.5.2.55	36.
BA.5.2.56	37.
BA.5.2.57	37.
BA.5.2.58	37.
BA.5.2.59	36.
BA.5.2.6	37.
BA.5.2.60	37.
BA.5.2.61	37.
BA.5.2.62	37.
BA.5.2.63	38.
BA.5.2.7	37.
BA.5.2.8	36.
BA.5.2.9	36.
BA.5.3	36.
BA.5.3.1	36.
BA.5.3.2	36.
BA.5.3.3	36.
BA.5.3.4	36.
BA.5.3.5	37.
BA.5.5	37.
BA.5.5.1	38.
BA.5.5.2	37.
BA.5.5.3	37.
BA.5.6	36.
BA.5.6.1	36.
BA.5.6.2	37.
BA.5.6.3	37.
BA.5.6.4	37.
BA.5.7	36.
BA.5.8	36.
BA.5.9	37.
BB.2	7.
BC.1	27.
BC.2	26.
BD.1	26.
BE.1	36.
BE.10	38.
BE.1.1	36.
BE.11	36.
BE.1.1.1	37.
BE.1.1.2	36.
BE.1.2	37.
BE.12	36.
BE.1.2.1	38.
BE.1.3	37.
BE.13	38.
BE.1.4	36.
BE.1.4.1	36.
BE.1.4.2	37.
BE.1.4.3	37.
BE.1.4.4	37.
BE.2	36.
BE.3	36.
BE.4	36.
BE.4.1	38.
BE.4.1.1	39.
BE.4.2	38.
BE.5	36.
BE.6	37.
BE.7	37.
BE.8	37.
BE.9	38.
BF.1	36.
BF.10	36.
BF.10.1	38.
BF.1.1	36.
BF.11	37.
BF.11.1	37.
BF.11.2	38.
BF.11.3	37.
BF.11.4	37.
BF.11.5	37.
BF.12	37.
BF.13	37.
BF.14	37.
BF.15	37.
BF.16	37.
BF.17	36.
BF.18	36.
BF.19	37.
BF.2	36.
BF.20	36.
BF.21	36.
BF.22	36.
BF.23	36.
BF.24	36.
BF.25	37.
BF.26	36.
BF.27	36.
BF.28	36.
BF.29	36.
BF.3	37.
BF.30	37.
BF.3.1	38.
BF.31	36.
BF.31.1	37.
BF.32	37.
BF.33	38.
BF.34	38.
BF.35	37.
BF.36	36.
BF.37	37.
BF.38	36.
BF.38.1	36.
BF.38.2	37.
BF.38.3	36.
BF.39	37.
BF.39.1	39.
BF.4	37.
BF.40	37.
BF.41	36.
BF.41.1	37.
BF.42	36.
BF.5	36.
BF.5.1	37.
BF.5.2	37.
BF.5.3	36.
BF.5.4	36.
BF.5.5	37.
BF.6	37.
BF.7	37.
BF.7.1	38.
BF.7.10	37.
BF.7.11	37.
BF.7.12	37.
BF.7.13	37.
BF.7.13.1	39.
BF.7.13.2	38.
BF.7.14	37.
BF.7.14.1	37.
BF.7.14.2	38.
BF.7.14.3	38.
BF.7.14.4	37.
BF.7.14.5	37.
BF.7.14.6	37.
BF.7.14.7	37.
BF.7.15	38.
BF.7.16	37.
BF.7.16.1	37.
BF.7.17	37.
BF.7.18	38.
BF.7.19	37.
BF.7.19.1	37.
BF.7.2	38.
BF.7.20	37.
BF.7.21	37.
BF.7.22	37.
BF.7.23	37.
BF.7.24	37.
BF.7.26	37.
BF.7.27	37.
BF.7.3	38.
BF.7.4	37.
BF.7.4.1	37.
BF.7.4.2	37.
BF.7.4.3	38.
BF.7.5	37.
BF.7.5.1	38.
BF.7.6	37.
BF.7.7	38.
BF.7.8	37.
BF.7.9	38.
BF.8	36.
BF.9	36.
BG.1	34.
BG.2	34.
BG.3	34.
BG.4	34.
BG.5	34.
BG.6	34.
BG.7	34.
BH.1	38.
BJ.1	44.
BK.1	36.
BL.1	44.
BL.1.1	45.
BL.1.2	46.
BL.1.3	45.
BL.1.4	45.
BL.1.5	45.
BL.2	44.
BL.2.1	45.
BL.3	43.
BL.4	43.
BL.5	44.
BL.6	45.
BM.1	43.
BM.1.1	44.
BM.1.1.1	45.
BM.1.1.2	44.
BM.1.1.3	44.
BM.1.1.4	46.
BM.1.1.5	46.
BM.2	43.
BM.2.1	44.
BM.2.2	44.
BM.2.3	46.
BM.3	42.
BM.4	42.
BM.4.1	43.
BM.4.1.1	44.
BM.5	43.
BM.6	44.
BN.1	45.
BN.1.1	46.
BN.1.10	46.
BN.1.1.1	47.
BN.1.11	46.
BN.1.2	45.
BN.1.2.1	46.
BN.1.2.2	45.
BN.1.2.3	45.
BN.1.2.4	45.
BN.1.2.5	45.
BN.1.2.6	45.
BN.1.2.7	45.
BN.1.2.8	45.
BN.1.3	45.
BN.1.3.1	45.
BN.1.3.10	45.
BN.1.3.11	45.
BN.1.3.12	45.
BN.1.3.13	46.
BN.1.3.2	46.
BN.1.3.3	46.
BN.1.3.4	46.
BN.1.3.5	45.
BN.1.3.6	45.
BN.1.3.7	45.
BN.1.3.8	45.
BN.1.3.9	46.
BN.1.4	45.
BN.1.4.1	47.
BN.1.4.2	45.
BN.1.4.3	45.
BN.1.4.4	45.
BN.1.4.5	45.
BN.1.5	45.
BN.1.5.1	46.
BN.1.5.2	46.
BN.1.6	45.
BN.1.7	48.
BN.1.8	46.
BN.1.9	45.
BN.2	43.
BN.2.1	45.
BN.3	44.
BN.3.1	45.
BN.4	44.
BN.5	43.
BN.6	43.
BP.1	37.
BQ.1	38.
BQ.1.1	39.
BQ.1.10	38.
BQ.1.10.1	39.
BQ.1.10.2	39.
BQ.1.10.3	39.
BQ.1.1.1	39.
BQ.1.11	38.
BQ.1.1.10	39.
BQ.1.1.11	40.
BQ.1.11.1	38.
BQ.1.1.12	40.
BQ.1.1.13	39.
BQ.1.1.14	39.
BQ.1.1.15	39.
BQ.1.1.16	40.
BQ.1.1.17	39.
BQ.1.1.18	39.
BQ.1.1.19	39.
BQ.1.1.2	40.
BQ.1.12	38.
BQ.1.1.20	39.
BQ.1.1.21	39.
BQ.1.1.22	39.
BQ.1.1.23	39.
BQ.1.1.24	39.
BQ.1.1.25	40.
BQ.1.1.26	40.
BQ.1.1.27	40.
BQ.1.1.28	40.
BQ.1.1.29	40.
BQ.1.1.3	39.
BQ.1.13	38.
BQ.1.1.30	40.
BQ.1.1.31	40.
BQ.1.13.1	39.
BQ.1.1.32	40.
BQ.1.1.34	40.
BQ.1.1.35	40.
BQ.1.1.36	39.
BQ.1.1.37	39.
BQ.1.1.38	40.
BQ.1.1.39	42.
BQ.1.1.4	39.
BQ.1.14	38.
BQ.1.1.40	39.
BQ.1.1.41	40.
BQ.1.1.42	39.
BQ.1.1.43	40.
BQ.1.1.44	40.
BQ.1.1.45	40.
BQ.1.1.46	40.
BQ.1.1.47	40.
BQ.1.1.48	40.
BQ.1.1.49	39.
BQ.1.1.5	39.
BQ.1.15	38.
BQ.1.1.50	39.
BQ.1.1.51	39.
BQ.1.15.1	38.
BQ.1.1.52	39.
BQ.1.15.2	38.
BQ.1.1.53	40.
BQ.1.1.54	40.
BQ.1.1.55	39.
BQ.1.1.56	39.
BQ.1.1.57	40.
BQ.1.1.58	39.
BQ.1.1.59	39.
BQ.1.1.6	39.
BQ.1.16	38.
BQ.1.1.60	39.
BQ.1.1.61	40.
BQ.1.1.62	40.
BQ.1.1.63	40.
BQ.1.1.64	40.
BQ.1.1.65	40.
BQ.1.1.66	40.
BQ.1.1.67	40.
BQ.1.1.68	39.
BQ.1.1.69	39.
BQ.1.1.7	39.
BQ.1.17	39.
BQ.1.1.70	39.
BQ.1.1.71	42.
BQ.1.1.72	39.
BQ.1.1.73	41.
BQ.1.1.74	40.
BQ.1.1.75	41.
BQ.1.1.76	39.
BQ.1.1.77	39.
BQ.1.1.78	39.
BQ.1.1.79	40.
BQ.1.1.8	39.
BQ.1.18	39.
BQ.1.1.9	40.
BQ.1.19	40.
BQ.1.2	39.
BQ.1.20	39.
BQ.1.2.1	39.
BQ.1.21	39.
BQ.1.2.2	43.
BQ.1.22	39.
BQ.1.2.3	39.
BQ.1.23	38.
BQ.1.24	40.
BQ.1.25	39.
BQ.1.25.1	39.
BQ.1.26	38.
BQ.1.26.1	38.
BQ.1.26.2	39.
BQ.1.27	39.
BQ.1.28	38.
BQ.1.29	39.
BQ.1.3	39.
BQ.1.30	39.
BQ.1.3.1	39.
BQ.1.31	39.
BQ.1.3.2	39.
BQ.1.32	39.
BQ.1.33	40.
BQ.1.4	39.
BQ.1.5	38.
BQ.1.6	38.
BQ.1.7	39.
BQ.1.8	38.
BQ.1.8.1	39.
BQ.1.8.2	38.
BQ.1.9	39.
BQ.2	38.
BR.1	44.
BR.1.1	45.
BR.1.2	45.
BR.2	45.
BR.2.1	45.
BR.3	44.
BR.4	45.
BR.5	45.
BR.5.1	45.
BS.1	40.
BS.1.1	41.
BS.1.2	41.
BT.1	36.
BT.2	36.
BU.1	38.
BU.2	37.
BU.3	38.
BV.1	37.
BV.2	37.
BW.1	38.
BW.1.1	39.
BW.1.1.1	39.
BW.1.1.2	39.
BW.1.2	39.
BY.1	44.
BY.1.1	45.
BY.1.1.1	47.
BY.1.2	44.
BY.1.2.1	45.
BZ.1	37.
BZ.2	37.
C.1	1.
C.11	1.
C.1.2	9.
C.13	1.
